puntnummer;project_id;project_titel;projectdatum;hoogte;orde;publiek
000A4076;366=00=NAP;SEC herziening 366w00hsec rivieren westB 2000;2000-02-04T00:00:00Z;6,84250000000000;2;N
000A4076;366W00-SEC;Secundaire waterpassing Rivieren west deel B 2000;2000-02-04T00:00:00Z;6,86490000000000;2;N
000A4076;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;6,84250000000000;1;J
000A4076;376=80;RIKZ metingen 2001 - 2003;2003-07-22T00:00:00Z;6,84250000000000;2;N
000A4076;384=12;SEC Veluwe/Flevoland en Rivieren-west 2010;2010-07-28T00:00:00Z;6,84250000000000;2;N
000A4076;388=08;SEC Brabant west + Rivierengebied 2020;2020-08-01T00:00:00Z;6,84250000000000;2;N
000A4078;266W00;HOEKSE WAARD;1984-01-01T00:00:00Z;4,95980000000000;2;N
000A4078;317W00;SEC WP ZUID-HOLLAND;1989-11-01T00:00:00Z;4,93290000000000;2;N
000A4078;317=00=NAP;SEC herziening 317w00  zuid holland 1989;1989-11-12T00:00:00Z;4,91570000000000;2;N
000A4078;289W30;CONC.BOTLEK/PERNIS;1990-12-15T00:00:00Z;4,93290000000000;2;N
000A4078;289=30=NAP;CON botlek pernis 1990;1991-01-09T00:00:00Z;4,91570000000000;2;N
000A4078;332=03=NAP;CON de lier - botlek 1992;1992-10-05T00:00:00Z;4,91570000000000;2;N
000A4078;332W03;NAM-DE LIER-BOTLEK/P;1992-10-15T00:00:00Z;4,93290000000000;2;N
000A4078;342=07=NAP;CON westland 1995;1995-10-06T00:00:00Z;4,91570000000000;2;N
000A4078;342W07;Nauwkeurigheidswaterpassing NAM, Rotterdam/Westland 1995;1995-10-06T00:00:00Z;4,93290000000000;2;N
000A4078;355=35=NAP;PMS verificatie 1996 exclusief regio oost;1996-11-27T00:00:00Z;4,91570000000000;2;N
000A4078;355W35-PMS;VERIFICATIE PEILMEETSTATIONS 1996 EXCLUSIEF REGIO OOST;1996-11-27T00:00:00Z;4,93290000000000;2;N
000A4078;363W00-SEC;riv west deel a   werknr 11354A  1998/1999;1999-03-07T00:00:00Z;4,93290000000000;2;N
000A4078;363=00=NAP;SEC herziening 363w00hsec+363w01-sec rivieren-west A 1999;1999-03-09T00:00:00Z;4,91570000000000;2;N
000A4078;363W00HSEC;herberekening 363w00+363w01 +3 overg + opt traj (gem.rdam.);1999-03-09T00:00:00Z;4,93290000000000;2;N
000A4078;371=04=NAP;hoogten 0A en 0B merken uit scan3 aansluitpunten herziening;2002-01-01T00:00:00Z;4,91570000000000;1;N
000A4078;380=82;CON concessie zuidholland 2005 NAM;2005-11-24T00:00:00Z;4,91570000000000;2;N
000A4078;384=04;SEC Zuid-Holland (RWS + NAM) en Zeeland 2008;2008-09-02T00:00:00Z;4,91570000000000;2;N
000A4078;386=063;CON zuid-holland 2011 NAM;2011-07-07T00:00:00Z;4,91570000000000;2;N
000A4078;388=01;SEC Zuid-Holland 2016;2016-07-09T00:00:00Z;4,91120000000000;2;N
000A4078;386=198;CON concessie Hoekschewaard 2019;2019-12-01T00:00:00Z;4,91120000000000;2;N
000A4078;391=33;CON Hoeksche Waard 2022;2022-05-10T00:00:00Z;4,91120000000000;2;J
000A4080;287W29;NA;1986-09-29T00:00:00Z;6,47600000000000;2;N
000A4080;323=00=NAP;SEC herziening 323w00 rivieren eind 1990;1990-11-18T00:00:00Z;6,46440000000000;2;N
000A4080;323W00;RIVIEREN-MIDDEN'90;1990-12-15T00:00:00Z;6,47030000000000;2;N
000A4080;289W35;CONSESSIE WAALWIJK;1991-09-15T00:00:00Z;6,47030000000000;2;N
000A4080;289=35=NAP;CON waalwijk 1991;1991-09-17T00:00:00Z;6,46440000000000;2;N
000A4080;342=06=NAP;CON waalwijk 1996;1996-03-25T00:00:00Z;6,46440000000000;2;N
000A4080;342W06;waterpassing Waalwijk 1996;1996-03-25T00:00:00Z;6,47030000000000;2;N
000A4080;371W00;5E PRIMAIRE WATERPASSING;1997-03-20T00:00:00Z;6,47030000000000;1;N
000A4080;371=00=NAP;PRI prim 5 herziening 371w00 - MAART 1997;1997-03-23T00:00:00Z;6,46440000000000;1;N
