# generated with r-analyse/gtsm/add-gtsm.R
# contains gtsm surge output per year
"...1","t","name","ddl_id","surge"
"229",66,1959-01-01,"Hoek van Holland","HOEKVHLD",-0.00028951923452215
"230",73,1960-01-01,"Hoek van Holland","HOEKVHLD",0.0396433750993211
"231",80,1961-01-01,"Hoek van Holland","HOEKVHLD",0.0576728610296364
"232",87,1962-01-01,"Hoek van Holland","HOEKVHLD",0.0417789032132894
"233",94,1963-01-01,"Hoek van Holland","HOEKVHLD",0.0125527663602915
"234",101,1964-01-01,"Hoek van Holland","HOEKVHLD",0.00729851053437329
"235",108,1965-01-01,"Hoek van Holland","HOEKVHLD",0.0648429276485455
"236",115,1966-01-01,"Hoek van Holland","HOEKVHLD",0.0593218438939689
"237",122,1967-01-01,"Hoek van Holland","HOEKVHLD",0.0741562401799306
"238",129,1968-01-01,"Hoek van Holland","HOEKVHLD",0.0339447566323349
"239",136,1969-01-01,"Hoek van Holland","HOEKVHLD",0.0245119472940082
"240",143,1970-01-01,"Hoek van Holland","HOEKVHLD",0.0546241302030442
"241",150,1971-01-01,"Hoek van Holland","HOEKVHLD",0.0182479203104565
"242",157,1972-01-01,"Hoek van Holland","HOEKVHLD",-0.00120744068440192
"243",164,1973-01-01,"Hoek van Holland","HOEKVHLD",0.0510299994163725
"244",171,1974-01-01,"Hoek van Holland","HOEKVHLD",0.073552813059459
"245",178,1975-01-01,"Hoek van Holland","HOEKVHLD",0.0199590418793975
"246",185,1976-01-01,"Hoek van Holland","HOEKVHLD",0.00926806833951281
"247",192,1977-01-01,"Hoek van Holland","HOEKVHLD",0.0567181573925565
"248",199,1978-01-01,"Hoek van Holland","HOEKVHLD",0.0408732146968784
"249",206,1979-01-01,"Hoek van Holland","HOEKVHLD",0.0364673227515069
"250",213,1980-01-01,"Hoek van Holland","HOEKVHLD",0.0309031584163934
"251",220,1981-01-01,"Hoek van Holland","HOEKVHLD",0.060422066869863
"252",227,1982-01-01,"Hoek van Holland","HOEKVHLD",0.0306493938219178
"253",234,1983-01-01,"Hoek van Holland","HOEKVHLD",0.0637750671589041
"254",241,1984-01-01,"Hoek van Holland","HOEKVHLD",0.0265957587939891
"255",248,1985-01-01,"Hoek van Holland","HOEKVHLD",0.0279352879764383
"256",255,1986-01-01,"Hoek van Holland","HOEKVHLD",0.0339339041917808
"257",262,1987-01-01,"Hoek van Holland","HOEKVHLD",0.0105949505786301
"258",269,1988-01-01,"Hoek van Holland","HOEKVHLD",0.0608745650037705
"259",276,1989-01-01,"Hoek van Holland","HOEKVHLD",0.0394007921342466
"260",283,1990-01-01,"Hoek van Holland","HOEKVHLD",0.0773221352205479
"261",290,1991-01-01,"Hoek van Holland","HOEKVHLD",0.0130519579945205
"262",297,1992-01-01,"Hoek van Holland","HOEKVHLD",0.0364941125
"263",304,1993-01-01,"Hoek van Holland","HOEKVHLD",0.0276601989205479
"264",311,1994-01-01,"Hoek van Holland","HOEKVHLD",0.0575276817232877
"265",318,1995-01-01,"Hoek van Holland","HOEKVHLD",0.0420149116758904
"266",325,1996-01-01,"Hoek van Holland","HOEKVHLD",-0.0238072488084699
"267",332,1997-01-01,"Hoek van Holland","HOEKVHLD",0.0039719116739726
"268",339,1998-01-01,"Hoek van Holland","HOEKVHLD",0.0697393174041096
"269",346,1999-01-01,"Hoek van Holland","HOEKVHLD",0.0641659034621918
"270",353,2000-01-01,"Hoek van Holland","HOEKVHLD",0.0544415823087432
"271",360,2001-01-01,"Hoek van Holland","HOEKVHLD",0.0487100304808219
"272",367,2002-01-01,"Hoek van Holland","HOEKVHLD",0.0206637171279452
"273",374,2003-01-01,"Hoek van Holland","HOEKVHLD",0.00668415353835616
