year;psmsl_id;name;height;surge;source;method;surge_anomaly;station
1990;22;Hoek van Holland;73;0.079;psmsl;NA;42.05263157894737;Hoek van Holland
1991;22;Hoek van Holland;-14;0.013;psmsl;NA;-23.94736842105263;Hoek van Holland
1992;22;Hoek van Holland;25;0.037;psmsl;NA;0.05263157894736992;Hoek van Holland
1993;22;Hoek van Holland;31;0.027;psmsl;NA;-9.94736842105263;Hoek van Holland
1994;22;Hoek van Holland;64;0.056;psmsl;NA;19.05263157894737;Hoek van Holland
1995;22;Hoek van Holland;74;0.043;psmsl;NA;6.05263157894737;Hoek van Holland
1996;22;Hoek van Holland;-22;-0.023;psmsl;NA;-59.94736842105263;Hoek van Holland
1997;22;Hoek van Holland;24;0.005;psmsl;NA;-31.94736842105263;Hoek van Holland
1998;22;Hoek van Holland;90;0.07;psmsl;NA;33.05263157894737;Hoek van Holland
1999;22;Hoek van Holland;91;0.065;psmsl;NA;28.05263157894737;Hoek van Holland
2000;22;Hoek van Holland;83;0.055;psmsl;NA;18.05263157894737;Hoek van Holland
2001;22;Hoek van Holland;101;0.049;psmsl;NA;12.05263157894737;Hoek van Holland
2002;22;Hoek van Holland;86;0.022;psmsl;NA;-14.94736842105263;Hoek van Holland
2003;22;Hoek van Holland;64;0.006;psmsl;NA;-30.94736842105263;Hoek van Holland
2004;22;Hoek van Holland;87;0.048;psmsl;NA;11.05263157894737;Hoek van Holland
2005;22;Hoek van Holland;75;0.034;psmsl;NA;-2.94736842105263;Hoek van Holland
2006;22;Hoek van Holland;72;0.036;psmsl;NA;-0.9473684210526301;Hoek van Holland
2007;22;Hoek van Holland;121;0.061;psmsl;NA;24.05263157894737;Hoek van Holland
2008;22;Hoek van Holland;92;0.051;psmsl;NA;14.05263157894737;Hoek van Holland
2009;22;Hoek van Holland;71;0.031;psmsl;NA;-5.94736842105263;Hoek van Holland
2010;22;Hoek van Holland;80;0.024;psmsl;NA;-12.94736842105263;Hoek van Holland
2011;22;Hoek van Holland;86;0.041;psmsl;NA;4.05263157894737;Hoek van Holland
2012;22;Hoek van Holland;86;0.035;psmsl;NA;-1.94736842105263;Hoek van Holland
2013;22;Hoek van Holland;70;0.014;psmsl;NA;-22.94736842105263;Hoek van Holland
2014;22;Hoek van Holland;101;0.035;psmsl;NA;-1.94736842105263;Hoek van Holland
2015;22;Hoek van Holland;109;0.046;psmsl;NA;9.05263157894737;Hoek van Holland
2016;22;Hoek van Holland;111;0.018;psmsl;NA;-18.94736842105263;Hoek van Holland
2017;22;Hoek van Holland;133;0.052;psmsl;NA;15.05263157894737;Hoek van Holland
2018;22;Hoek van Holland;75;0.001;psmsl;NA;-35.94736842105263;Hoek van Holland
2019;22;Hoek van Holland;138;0.042;psmsl;NA;5.05263157894737;Hoek van Holland
2020;22;Hoek van Holland;136;0.041;psmsl;NA;4.05263157894737;Hoek van Holland
2021;22;Hoek van Holland;128;0.022;psmsl;NA;-14.94736842105263;Hoek van Holland
2022;22;Hoek van Holland;135;0.027;psmsl;NA;-9.94736842105263;Hoek van Holland
2023;22;Hoek van Holland;195;0.061;psmsl;NA;24.05263157894737;Hoek van Holland
2024;22;Hoek van Holland;207;0.057;psmsl;NA;20.05263157894737;Hoek van Holland
2025;22;Hoek van Holland;156;0.013;psmsl;NA;-23.94736842105263;Hoek van Holland
1865;23;Den Helder;-280;NA;psmsl;NA;0;Den Helder
1866;23;Den Helder;-146;NA;psmsl;NA;0;Den Helder
1867;23;Den Helder;-201;NA;psmsl;NA;0;Den Helder
1868;23;Den Helder;-202;NA;psmsl;NA;0;Den Helder
1869;23;Den Helder;-198;NA;psmsl;NA;0;Den Helder
1870;23;Den Helder;-255;NA;psmsl;NA;0;Den Helder
1871;23;Den Helder;-262;NA;psmsl;NA;0;Den Helder
1872;23;Den Helder;-204;NA;psmsl;NA;0;Den Helder
1873;23;Den Helder;-194;NA;psmsl;NA;0;Den Helder
1874;23;Den Helder;-210;NA;psmsl;NA;0;Den Helder
1875;23;Den Helder;-256;NA;psmsl;NA;0;Den Helder
1876;23;Den Helder;-192;NA;psmsl;NA;0;Den Helder
1877;23;Den Helder;-108;NA;psmsl;NA;0;Den Helder
1878;23;Den Helder;-131;NA;psmsl;NA;0;Den Helder
1879;23;Den Helder;-190;NA;psmsl;NA;0;Den Helder
1880;23;Den Helder;-159;NA;psmsl;NA;0;Den Helder
1881;23;Den Helder;-208;NA;psmsl;NA;0;Den Helder
1882;23;Den Helder;-178;NA;psmsl;NA;0;Den Helder
1883;23;Den Helder;-188;NA;psmsl;NA;0;Den Helder
1884;23;Den Helder;-174;NA;psmsl;NA;0;Den Helder
1885;23;Den Helder;-194;NA;psmsl;NA;0;Den Helder
